,,S,M,MS,B,BS,BM,BMS,E,ES,EM,EMS,EB,EBS,EBM,EBMS,F,FS,FM,FMS,FB,FBS,FBM,FBMS,FE,FES,FEM,FEMS,FEB,FEBS,FEBM,FEBMS,H,HS,HM,HMS,HB,HBS,HBM,HBMS,HE,HES,HEM,HEMS,HEB,HEBS,HEBM,HEBMS,HF,HFS,HFM,HFMS,HFB,HFBS,HFBM,HFBMS,HFE,HFES,HFEM,HFEMS,HFEB,HFEBS,HFEBM,HFEBMS
,51.78,14.249999999999998,46.379999999999995,14.45,51.68000000000001,14.01,46.86,14.280000000000001,39.08,9.46,34.0,9.48,39.019999999999996,9.31,34.29,9.379999999999999,45.15,12.35,41.099999999999994,12.73,45.050000000000004,11.75,41.46,12.47,33.12,7.26,29.13,8.02,33.18,6.97,29.25,7.89,5.01,1.8399999999999999,5.0200000000000005,1.8800000000000001,4.43,1.83,4.3999999999999995,1.8599999999999999,1.9300000000000002,0.86,1.7500000000000002,0.74,1.54,0.86,1.41,0.76,4.9,1.95,4.97,2.06,4.35,1.91,4.31,2.06,1.8900000000000001,0.72,1.83,0.62,1.49,0.73,1.48,0.66
S,85.72,49.81,82.66,47.73,85.33,49.65,82.27,47.8,80.06,41.65,75.84,39.96,79.63,41.63,75.74,40.03,81.67,46.14,78.74,45.2,81.15,46.23,78.11,45.39,74.67,38.5,70.99,37.1,74.26,38.59,70.67,37.41,15.39,9.48,14.75,9.98,15.06,9.44,14.000000000000002,9.91,12.0,6.859999999999999,11.15,7.3999999999999995,11.59,6.77,10.72,7.2700000000000005,15.010000000000002,9.82,14.05,10.47,14.7,9.84,13.5,10.61,11.790000000000001,6.93,11.07,7.64,11.450000000000001,6.88,10.7,7.71
M,53.7,17.44,50.36000000000001,17.5,53.94,16.669999999999998,49.89,16.86,42.03,11.78,38.129999999999995,11.84,42.05,11.43,37.97,11.360000000000001,48.88,14.99,45.23,15.86,49.25,14.66,45.24,15.35,36.82,9.790000000000001,32.690000000000005,10.48,36.91,9.6,33.239999999999995,9.969999999999999,5.4,3.16,5.48,2.98,4.89,3.2399999999999998,4.859999999999999,3.09,2.2399999999999998,1.26,2.02,1.28,1.97,1.1900000000000002,1.67,1.24,5.26,3.06,5.3100000000000005,2.8899999999999997,4.6899999999999995,3.1,4.87,2.94,2.32,1.1900000000000002,2.07,1.1900000000000002,1.92,1.15,1.71,1.11
MS,86.28,51.89,83.13000000000001,49.830000000000005,85.89,52.15,82.56,50.080000000000005,80.36999999999999,43.97,76.83,42.730000000000004,79.88,44.14,76.11,42.83,82.12,48.17,78.5,47.699999999999996,81.72,48.309999999999995,78.07,47.94,75.48,40.42,71.55,40.11,74.89,40.54,71.15,40.22,15.920000000000002,10.6,15.18,11.07,15.540000000000001,10.39,14.87,11.15,12.46,7.23,11.75,7.76,12.04,7.12,11.450000000000001,7.670000000000001,15.340000000000002,10.8,14.940000000000001,11.19,15.0,10.57,14.680000000000001,11.09,11.95,7.59,11.459999999999999,8.110000000000001,11.59,7.41,11.18,7.960000000000001
B,51.22,14.78,45.93,14.7,50.949999999999996,14.52,46.37,14.549999999999999,38.53,9.84,33.47,9.82,38.61,9.520000000000001,34.04,9.62,44.690000000000005,12.47,40.9,12.659999999999998,44.61,11.959999999999999,41.0,12.540000000000001,32.68,7.62,28.689999999999998,8.23,33.07,7.37,28.77,8.01,5.140000000000001,1.71,5.28,1.9,4.5600000000000005,1.7500000000000002,4.590000000000001,1.96,1.8399999999999999,0.7799999999999999,1.8900000000000001,0.8,1.44,0.7799999999999999,1.5599999999999998,0.8200000000000001,4.92,1.8900000000000001,5.12,2.06,4.44,1.91,4.45,2.12,1.83,0.67,1.92,0.65,1.4200000000000002,0.66,1.6099999999999999,0.67
BS,86.33,49.919999999999995,83.21,47.68,85.91,49.76,82.67,47.71,80.42,41.48,76.39,39.72,79.99000000000001,41.3,76.09,39.839999999999996,82.23,46.17,79.16,45.0,81.58999999999999,46.31,78.63,45.129999999999995,75.31,38.57,71.67999999999999,36.980000000000004,74.81,38.5,71.07,37.22,15.15,9.8,14.430000000000001,10.059999999999999,14.71,9.73,13.700000000000001,9.959999999999999,11.73,6.819999999999999,11.0,7.290000000000001,11.28,6.710000000000001,10.530000000000001,7.199999999999999,14.96,10.03,14.149999999999999,10.48,14.580000000000002,10.03,13.68,10.549999999999999,11.66,6.859999999999999,11.1,7.41,11.37,6.77,10.79,7.5
BM,53.25,17.69,49.49,17.740000000000002,53.54,17.1,49.2,17.380000000000003,41.3,11.899999999999999,37.730000000000004,11.95,41.370000000000005,11.66,37.64,11.57,48.089999999999996,15.340000000000002,44.49,16.04,48.44,14.879999999999999,44.55,15.709999999999999,36.26,10.02,32.26,10.81,36.18,9.76,32.74,10.440000000000001,5.5,3.05,5.71,3.0,4.91,3.1199999999999997,5.01,3.11,2.1999999999999997,1.24,2.02,1.3,1.97,1.17,1.7000000000000002,1.26,5.319999999999999,2.88,5.35,2.82,4.65,2.93,4.9,2.8899999999999997,2.22,1.16,2.02,1.18,1.83,1.11,1.71,1.08
BMS,86.69,51.92,83.14,50.2,86.28,52.059999999999995,82.57,50.32,80.91000000000001,43.69,76.92,42.33,80.27,43.830000000000005,76.2,42.42,82.45,47.839999999999996,78.51,47.79,81.96,47.89,78.19,47.92,76.03,39.95,71.58,39.86,75.26,39.910000000000004,71.31,39.900000000000006,15.479999999999999,10.59,14.899999999999999,11.12,15.18,10.39,14.57,11.17,12.04,7.26,11.540000000000001,7.829999999999999,11.73,7.1499999999999995,11.129999999999999,7.7700000000000005,14.979999999999999,10.91,14.610000000000001,11.17,14.719999999999999,10.69,14.469999999999999,11.07,11.76,7.55,11.379999999999999,7.95,11.459999999999999,7.37,11.06,7.8
E,63.42,19.63,58.489999999999995,20.24,63.3,19.24,58.879999999999995,19.580000000000002,51.39,13.819999999999999,45.410000000000004,13.71,51.21,13.5,45.910000000000004,13.389999999999999,56.88999999999999,16.97,52.6,18.01,56.81,16.16,53.080000000000005,17.4,44.86,10.81,39.73,12.21,44.940000000000005,10.71,40.400000000000006,11.709999999999999,8.709999999999999,3.4799999999999995,8.559999999999999,3.3000000000000003,7.779999999999999,3.35,7.7299999999999995,3.2399999999999998,3.53,1.43,3.35,1.32,3.06,1.41,2.76,1.34,8.33,3.55,8.21,3.45,7.46,3.36,7.470000000000001,3.4000000000000004,3.46,1.35,3.49,1.27,2.92,1.3,2.8899999999999997,1.3
ES,90.73,57.79,88.42,55.730000000000004,90.46,57.76,88.19,55.54,86.14,49.79,82.59,47.38,85.7,49.9,82.39,47.77,87.88,54.25,85.33,52.790000000000006,87.53999999999999,54.410000000000004,84.89,53.169999999999995,81.98,46.31,78.99000000000001,44.59,81.47999999999999,46.53,78.52,45.129999999999995,22.1,14.04,21.66,14.6,21.67,13.919999999999998,21.08,14.31,16.56,10.489999999999998,15.870000000000001,10.96,16.05,10.43,15.45,10.91,21.51,14.530000000000001,21.09,15.340000000000002,21.21,14.45,20.46,15.229999999999999,16.57,10.489999999999998,15.86,11.200000000000001,16.25,10.440000000000001,15.509999999999998,11.24
